id,created_at,updated_at,distance,from_node_code,from_node_id,from_node_name,from_node_type,risk_probability,time,to_node_code,to_node_id,to_node_name,to_node_type
37,1658895500791,,7391,C2,2,VinMart Đại La,CUSTOMER,0.01,1198,C1,1,VinMart Liễu Giai,CUSTOMER
38,1658895500841,,0,C2,2,VinMart Đại La,CUSTOMER,0.01,0,C2,2,VinMart Đại La,CUSTOMER
39,1658895500842,,12530,C2,2,VinMart Đại La,CUSTOMER,0.01,1757,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
40,1658895500842,,7008,C2,2,VinMart Đại La,CUSTOMER,0.01,1193,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
41,1658895500843,,4797,C2,2,VinMart Đại La,CUSTOMER,0.01,741,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
42,1658895500844,,7289,C2,2,VinMart Đại La,CUSTOMER,0.01,923,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
43,1658895500844,,13131,C2,2,VinMart Đại La,CUSTOMER,0.01,1588,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
44,1658895521061,,7015,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,1095,C2,2,VinMart Đại La,CUSTOMER
45,1658895521072,,12135,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,1634,C2,2,VinMart Đại La,CUSTOMER
46,1658895521074,,7454,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,1171,C2,2,VinMart Đại La,CUSTOMER
47,1658895521076,,7382,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,1039,C2,2,VinMart Đại La,CUSTOMER
48,1658895521077,,9563,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,1276,C2,2,VinMart Đại La,CUSTOMER
49,1658895521079,,12132,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,1381,C2,2,VinMart Đại La,CUSTOMER
50,1658895522632,,8313,C3,3,VinMart Trương Định,CUSTOMER,0.01,1465,C1,1,VinMart Liễu Giai,CUSTOMER
51,1658895522645,,2498,C3,3,VinMart Trương Định,CUSTOMER,0.01,480,C2,2,VinMart Đại La,CUSTOMER
52,1658895522646,,0,C3,3,VinMart Trương Định,CUSTOMER,0.01,0,C3,3,VinMart Trương Định,CUSTOMER
53,1658895522663,,14134,C3,3,VinMart Trương Định,CUSTOMER,0.01,2046,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
54,1658895522664,,8612,C3,3,VinMart Trương Định,CUSTOMER,0.01,1482,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
55,1658895522667,,3868,C3,3,VinMart Trương Định,CUSTOMER,0.01,622,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
56,1658895522669,,8660,C3,3,VinMart Trương Định,CUSTOMER,0.01,1221,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
57,1658895522670,,14735,C3,3,VinMart Trương Định,CUSTOMER,0.01,1876,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
58,1658895542902,,9075,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,1440,C3,3,VinMart Trương Định,CUSTOMER
59,1658895542908,,2523,C2,2,VinMart Đại La,CUSTOMER,0.01,542,C3,3,VinMart Trương Định,CUSTOMER
60,1658895542910,,14195,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,1978,C3,3,VinMart Trương Định,CUSTOMER
61,1658895542911,,9514,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,1515,C3,3,VinMart Trương Định,CUSTOMER
62,1658895542912,,5274,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,753,C3,3,VinMart Trương Định,CUSTOMER
63,1658895542923,,9175,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,1313,C3,3,VinMart Trương Định,CUSTOMER
64,1658895542924,,17062,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,1716,C3,3,VinMart Trương Định,CUSTOMER
65,1658895551862,,1265,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,244,C1,1,VinMart Liễu Giai,CUSTOMER
66,1658895551876,,5995,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,939,C2,2,VinMart Đại La,CUSTOMER
67,1658895551878,,8055,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,1284,C3,3,VinMart Trương Định,CUSTOMER
68,1658895551879,,0,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,0,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
69,1658895551881,,11505,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,1305,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
70,1658895551881,,2702,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,466,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
71,1658895551882,,13685,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,1447,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
72,1658895551882,,13182,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,1813,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
73,1658895551883,,8588,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,1047,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
74,1658895572106,,1920,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,420,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
75,1658895572149,,6643,C2,2,VinMart Đại La,CUSTOMER,0.01,1126,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
76,1658895572171,,8247,C3,3,VinMart Trương Định,CUSTOMER,0.01,1415,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
77,1658895572172,,8645,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,1238,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
78,1658895572173,,3516,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,696,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
79,1658895572174,,13508,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,1397,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
80,1658895572175,,12141,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,1882,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
81,1658895572180,,5582,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,1161,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
82,1658895663272,,2544,C5,5,VinMart La Thành,CUSTOMER,0.01,531,C1,1,VinMart Liễu Giai,CUSTOMER
83,1658895663283,,5768,C5,5,VinMart La Thành,CUSTOMER,0.01,940,C2,2,VinMart Đại La,CUSTOMER
84,1658895663284,,6141,C5,5,VinMart La Thành,CUSTOMER,0.01,1075,C3,3,VinMart Trương Định,CUSTOMER
85,1658895663285,,2406,C5,5,VinMart La Thành,CUSTOMER,0.01,568,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
86,1658895663286,,0,C5,5,VinMart La Thành,CUSTOMER,0.01,0,C5,5,VinMart La Thành,CUSTOMER
87,1658895663287,,13465,C5,5,VinMart La Thành,CUSTOMER,0.01,1723,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
88,1658895663288,,4661,C5,5,VinMart La Thành,CUSTOMER,0.01,884,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
89,1658895663289,,9040,C5,5,VinMart La Thành,CUSTOMER,0.01,1456,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
90,1658895663290,,10458,C5,5,VinMart La Thành,CUSTOMER,0.01,1437,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
91,1658895663291,,7167,C5,5,VinMart La Thành,CUSTOMER,0.01,1352,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
92,1658895683532,,2668,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,555,C5,5,VinMart La Thành,CUSTOMER
93,1658895683562,,4234,C2,2,VinMart Đại La,CUSTOMER,0.01,755,C5,5,VinMart La Thành,CUSTOMER
94,1658895683564,,5840,C3,3,VinMart Trương Định,CUSTOMER,0.01,965,C5,5,VinMart La Thành,CUSTOMER
95,1658895683580,,3231,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,662,C5,5,VinMart La Thành,CUSTOMER
96,1658895683581,,10512,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,1542,C5,5,VinMart La Thành,CUSTOMER
97,1658895683582,,5384,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,1000,C5,5,VinMart La Thành,CUSTOMER
98,1658895683586,,10295,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,1487,C5,5,VinMart La Thành,CUSTOMER
99,1658895683586,,9806,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,1344,C5,5,VinMart La Thành,CUSTOMER
100,1658895683587,,10292,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,1471,C5,5,VinMart La Thành,CUSTOMER
101,1658895718704,,1149,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,246,C1,1,VinMart Liễu Giai,CUSTOMER
102,1658895718718,,7938,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,1234,C2,2,VinMart Đại La,CUSTOMER
103,1658895718720,,9998,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,1578,C3,3,VinMart Trương Định,CUSTOMER
104,1658895718720,,2390,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,445,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
105,1658895718721,,3285,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,687,C5,5,VinMart La Thành,CUSTOMER
106,1658895718722,,0,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,0,C6,6,VinMart Đội Cấn,CUSTOMER
107,1658895718723,,13448,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,1599,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
108,1658895718723,,4645,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,760,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
109,1658895718724,,15627,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,1741,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
110,1658895718725,,10742,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,1591,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
111,1658895718726,,6442,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,1057,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
112,1658895738949,,2850,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,492,C6,6,VinMart Đội Cấn,CUSTOMER
113,1658895738957,,7061,C2,2,VinMart Đại La,CUSTOMER,0.01,1267,C6,6,VinMart Đội Cấn,CUSTOMER
114,1658895738959,,8667,C3,3,VinMart Trương Định,CUSTOMER,0.01,1478,C6,6,VinMart Đội Cấn,CUSTOMER
115,1658895738961,,4115,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,737,C6,6,VinMart Đội Cấn,CUSTOMER
116,1658895738962,,2899,C5,5,VinMart La Thành,CUSTOMER,0.01,544,C6,6,VinMart Đội Cấn,CUSTOMER
117,1658895738963,,12243,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,1802,C6,6,VinMart Đội Cấn,CUSTOMER
118,1658895738964,,7115,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,1260,C6,6,VinMart Đội Cấn,CUSTOMER
119,1658895738966,,13122,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,2000,C6,6,VinMart Đội Cấn,CUSTOMER
120,1658895738968,,10933,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,1702,C6,6,VinMart Đội Cấn,CUSTOMER
121,1658895738969,,8707,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,1519,C6,6,VinMart Đội Cấn,CUSTOMER
122,1658895744269,,2894,C7,7,VinMart Tràng An,CUSTOMER,0.01,459,C1,1,VinMart Liễu Giai,CUSTOMER
123,1658895744277,,9345,C7,7,VinMart Tràng An,CUSTOMER,0.01,1259,C2,2,VinMart Đại La,CUSTOMER
124,1658895744278,,11405,C7,7,VinMart Tràng An,CUSTOMER,0.01,1603,C3,3,VinMart Trương Định,CUSTOMER
125,1658895744278,,4121,C7,7,VinMart Tràng An,CUSTOMER,0.01,712,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
126,1658895744279,,5561,C7,7,VinMart Tràng An,CUSTOMER,0.01,1015,C5,5,VinMart La Thành,CUSTOMER
127,1658895744280,,4652,C7,7,VinMart Tràng An,CUSTOMER,0.01,843,C6,6,VinMart Đội Cấn,CUSTOMER
128,1658895744281,,0,C7,7,VinMart Tràng An,CUSTOMER,0.01,0,C7,7,VinMart Tràng An,CUSTOMER
129,1658895744283,,14849,C7,7,VinMart Tràng An,CUSTOMER,0.01,1682,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
130,1658895744284,,6046,C7,7,VinMart Tràng An,CUSTOMER,0.01,843,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
131,1658895744285,,19119,C7,7,VinMart Tràng An,CUSTOMER,0.01,1818,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
132,1658895744285,,12664,C7,7,VinMart Tràng An,CUSTOMER,0.01,1919,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
133,1658895744286,,4795,C7,7,VinMart Tràng An,CUSTOMER,0.01,804,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
134,1658895764551,,2900,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,608,C7,7,VinMart Tràng An,CUSTOMER
135,1658895764563,,10372,C2,2,VinMart Đại La,CUSTOMER,0.01,1486,C7,7,VinMart Tràng An,CUSTOMER
136,1658895764566,,11976,C3,3,VinMart Trương Định,CUSTOMER,0.01,1775,C7,7,VinMart Tràng An,CUSTOMER
137,1658895764567,,4349,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,755,C7,7,VinMart Tràng An,CUSTOMER
138,1658895764569,,5654,C5,5,VinMart La Thành,CUSTOMER,0.01,1051,C7,7,VinMart Tràng An,CUSTOMER
139,1658895764570,,2559,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,533,C7,7,VinMart Tràng An,CUSTOMER
140,1658895764571,,11329,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,1655,C7,7,VinMart Tràng An,CUSTOMER
141,1658895764572,,7846,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,985,C7,7,VinMart Tràng An,CUSTOMER
142,1658895764572,,18013,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,1654,C7,7,VinMart Tràng An,CUSTOMER
143,1658895764573,,13501,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,2033,C7,7,VinMart Tràng An,CUSTOMER
144,1658895764574,,4685,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,807,C7,7,VinMart Tràng An,CUSTOMER
145,1658895775829,,7088,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,1254,C1,1,VinMart Liễu Giai,CUSTOMER
146,1658895775855,,4437,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,746,C2,2,VinMart Đại La,CUSTOMER
147,1658895775856,,3982,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,795,C3,3,VinMart Trương Định,CUSTOMER
148,1658895775858,,6950,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,1291,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
149,1658895775860,,4615,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,754,C5,5,VinMart La Thành,CUSTOMER
150,1658895775862,,7443,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,1267,C6,6,VinMart Đội Cấn,CUSTOMER
151,1658895775865,,10198,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,1774,C7,7,VinMart Tràng An,CUSTOMER
152,1658895775867,,0,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,0,C8,8,VinMart Võ Thị Sáu,CUSTOMER
153,1658895775868,,14020,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,2011,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
154,1658895775873,,8498,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,1447,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
155,1658895775875,,4111,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,699,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
156,1658895775884,,6583,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,879,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
157,1658895775888,,14621,C8,8,VinMart Võ Thị Sáu,CUSTOMER,0.01,1842,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
158,1658895796105,,7801,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,1308,C8,8,VinMart Võ Thị Sáu,CUSTOMER
159,1658895796112,,3000,C2,2,VinMart Đại La,CUSTOMER,0.01,519,C8,8,VinMart Võ Thị Sáu,CUSTOMER
160,1658895796113,,4371,C3,3,VinMart Trương Định,CUSTOMER,0.01,817,C8,8,VinMart Võ Thị Sáu,CUSTOMER
161,1658895796115,,8333,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER,0.01,1359,C8,8,VinMart Võ Thị Sáu,CUSTOMER
162,1658895796116,,4953,C5,5,VinMart La Thành,CUSTOMER,0.01,838,C8,8,VinMart Võ Thị Sáu,CUSTOMER
163,1658895796117,,8418,C6,6,VinMart Đội Cấn,CUSTOMER,0.01,1439,C8,8,VinMart Võ Thị Sáu,CUSTOMER
164,1658895796118,,11683,C7,7,VinMart Tràng An,CUSTOMER,0.01,1679,C8,8,VinMart Võ Thị Sáu,CUSTOMER
165,1658895796119,,14473,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,2054,C8,8,VinMart Võ Thị Sáu,CUSTOMER
166,1658895796120,,9792,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,1591,C8,8,VinMart Võ Thị Sáu,CUSTOMER
167,1658895796121,,4941,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,872,C8,8,VinMart Võ Thị Sáu,CUSTOMER
168,1658895796122,,6492,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,867,C8,8,VinMart Võ Thị Sáu,CUSTOMER
169,1658895796124,,14470,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,1801,C8,8,VinMart Võ Thị Sáu,CUSTOMER
170,1658895857903,,6630,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,1056,C1,1,VinMart Liễu Giai,CUSTOMER
171,1658895857914,,10470,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,1645,C2,2,VinMart Đại La,CUSTOMER
172,1658895857915,,11375,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,1829,C3,3,VinMart Trương Định,CUSTOMER
173,1658895857916,,7870,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,1255,C4,4,VinMart Nguyễn Chí Thanh,CUSTOMER
174,1658895857916,,6562,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,1104,C5,5,VinMart La Thành,CUSTOMER
175,1658895857917,,6050,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,967,C6,6,VinMart Đội Cấn,CUSTOMER
176,1658895857917,,7327,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,982,C7,7,VinMart Tràng An,CUSTOMER
177,1658895857918,,9091,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,1341,C8,8,VinMart Võ Thị Sáu,CUSTOMER
178,1658895857918,,0,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,0,C9,9,VinMart Xuân Diệu,CUSTOMER
179,1658895857919,,20857,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,2391,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
180,1658895857920,,12054,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,1552,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
181,1658895857921,,12449,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,1889,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
182,1658895857922,,9630,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,1339,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
183,1658895857923,,13024,C9,9,VinMart Xuân Diệu,CUSTOMER,0.01,1410,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
184,1658895878098,,7190,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,1155,C9,9,VinMart Xuân Diệu,CUSTOMER
185,1658895878113,,11403,C2,2,VinMart Đại La,CUSTOMER,0.01,1650,C9,9,VinMart Xuân Diệu,CUSTOMER
