id,distance,from_node_code,from_node_id,from_node_type,time,to_node_code,to_node_id,to_node_type
164,11683,C7,7,CUSTOMER,1679,C8,8,CUSTOMER
165,14473,D1,1,DEPOT,2054,C8,8,CUSTOMER
166,9792,D2,2,DEPOT,1591,C8,8,CUSTOMER
167,4941,D3,3,DEPOT,872,C8,8,CUSTOMER
168,6492,D4,4,DEPOT,867,C8,8,CUSTOMER
169,14470,D5,5,DEPOT,1801,C8,8,CUSTOMER
170,6630,C9,9,CUSTOMER,1056,C1,1,CUSTOMER
171,10470,C9,9,CUSTOMER,1645,C2,2,CUSTOMER
172,11375,C9,9,CUSTOMER,1829,C3,3,CUSTOMER
173,7870,C9,9,CUSTOMER,1255,C4,4,CUSTOMER
174,6562,C9,9,CUSTOMER,1104,C5,5,CUSTOMER
175,6050,C9,9,CUSTOMER,967,C6,6,CUSTOMER
176,7327,C9,9,CUSTOMER,982,C7,7,CUSTOMER
177,9091,C9,9,CUSTOMER,1341,C8,8,CUSTOMER
178,0,C9,9,CUSTOMER,0,C9,9,CUSTOMER
179,20857,C9,9,CUSTOMER,2391,D1,1,DEPOT
180,12054,C9,9,CUSTOMER,1552,D2,2,DEPOT
181,12449,C9,9,CUSTOMER,1889,D3,3,DEPOT
182,9630,C9,9,CUSTOMER,1339,D4,4,DEPOT
183,13024,C9,9,CUSTOMER,1410,D5,5,DEPOT
184,7190,C1,1,CUSTOMER,1155,C9,9,CUSTOMER
185,11403,C2,2,CUSTOMER,1650,C9,9,CUSTOMER
186,11542,C3,3,CUSTOMER,1883,C9,9,CUSTOMER
187,7889,C4,4,CUSTOMER,1220,C9,9,CUSTOMER
188,6886,C5,5,CUSTOMER,1158,C9,9,CUSTOMER
189,6464,C6,6,CUSTOMER,999,C9,9,CUSTOMER
190,7543,C7,7,CUSTOMER,939,C9,9,CUSTOMER
191,9156,C8,8,CUSTOMER,1289,C9,9,CUSTOMER
192,18150,D1,1,DEPOT,2242,C9,9,CUSTOMER
193,12349,D2,2,DEPOT,1579,C9,9,CUSTOMER
194,13503,D3,3,DEPOT,2018,C9,9,CUSTOMER
195,9698,D4,4,DEPOT,1292,C9,9,CUSTOMER
196,12458,D5,5,DEPOT,1478,C9,9,CUSTOMER
197,3593,C10,10,CUSTOMER,698,C1,1,CUSTOMER
198,3884,C10,10,CUSTOMER,586,C2,2,CUSTOMER
199,5944,C10,10,CUSTOMER,931,C3,3,CUSTOMER
200,2845,C10,10,CUSTOMER,627,C4,4,CUSTOMER
201,2269,C10,10,CUSTOMER,453,C5,5,CUSTOMER
202,4793,C10,10,CUSTOMER,900,C6,6,CUSTOMER
203,6678,C10,10,CUSTOMER,1210,C7,7,CUSTOMER
204,5307,C10,10,CUSTOMER,877,C8,8,CUSTOMER
205,8033,C10,10,CUSTOMER,1387,C9,9,CUSTOMER
206,0,C10,10,CUSTOMER,0,C10,10,CUSTOMER
207,9869,C10,10,CUSTOMER,1334,D1,1,DEPOT
208,4553,C10,10,CUSTOMER,808,D2,2,DEPOT
209,11694,C10,10,CUSTOMER,1209,D3,3,DEPOT
210,11071,C10,10,CUSTOMER,1460,D4,4,DEPOT
211,10470,C10,10,CUSTOMER,1165,D5,5,DEPOT
212,3610,C1,1,CUSTOMER,684,C10,10,CUSTOMER
213,3866,C2,2,CUSTOMER,604,C10,10,CUSTOMER
214,5470,C3,3,CUSTOMER,893,C10,10,CUSTOMER
215,3487,C4,4,CUSTOMER,649,C10,10,CUSTOMER
216,2304,C5,5,CUSTOMER,471,C10,10,CUSTOMER
217,4227,C6,6,CUSTOMER,815,C10,10,CUSTOMER
218,6837,C7,7,CUSTOMER,968,C10,10,CUSTOMER
219,5356,C8,8,CUSTOMER,858,C10,10,CUSTOMER
220,8085,C9,9,CUSTOMER,1367,C10,10,CUSTOMER
221,10101,D1,1,DEPOT,1409,C10,10,CUSTOMER
222,4567,D2,2,DEPOT,897,C10,10,CUSTOMER
223,11475,D3,3,DEPOT,1094,C10,10,CUSTOMER
224,10481,D4,4,DEPOT,1388,C10,10,CUSTOMER
225,10098,D5,5,DEPOT,1156,C10,10,CUSTOMER
226,8696,C11,11,CUSTOMER,1318,C1,1,CUSTOMER
227,10388,C11,11,CUSTOMER,1508,C2,2,CUSTOMER
228,10831,C11,11,CUSTOMER,1667,C3,3,CUSTOMER
229,9936,C11,11,CUSTOMER,1517,C4,4,CUSTOMER
230,6872,C11,11,CUSTOMER,1279,C5,5,CUSTOMER
231,7373,C11,11,CUSTOMER,1231,C6,6,CUSTOMER
232,9941,C11,11,CUSTOMER,1561,C7,7,CUSTOMER
233,6625,C11,11,CUSTOMER,952,C8,8,CUSTOMER
234,6138,C11,11,CUSTOMER,821,C9,9,CUSTOMER
235,8395,C11,11,CUSTOMER,1543,C10,10,CUSTOMER
236,0,C11,11,CUSTOMER,0,C11,11,CUSTOMER
237,20995,C11,11,CUSTOMER,2672,D1,1,DEPOT
238,12191,C11,11,CUSTOMER,1833,D2,2,DEPOT
239,9983,C11,11,CUSTOMER,1500,D3,3,DEPOT
240,4676,C11,11,CUSTOMER,644,D4,4,DEPOT
241,13823,C11,11,CUSTOMER,2086,D5,5,DEPOT
242,8252,C1,1,CUSTOMER,1287,C11,11,CUSTOMER
243,10894,C2,2,CUSTOMER,1248,C11,11,CUSTOMER
244,12265,C3,3,CUSTOMER,1546,C11,11,CUSTOMER
245,9473,C4,4,CUSTOMER,1448,C11,11,CUSTOMER
246,8102,C5,5,CUSTOMER,1317,C11,11,CUSTOMER
247,8049,C6,6,CUSTOMER,1227,C11,11,CUSTOMER
248,9971,C7,7,CUSTOMER,1555,C11,11,CUSTOMER
249,7291,C8,8,CUSTOMER,1013,C11,11,CUSTOMER
250,6937,C9,9,CUSTOMER,975,C11,11,CUSTOMER
251,9215,C10,10,CUSTOMER,1515,C11,11,CUSTOMER
252,17601,D1,1,DEPOT,2513,C11,11,CUSTOMER
253,12473,D2,2,DEPOT,1971,C11,11,CUSTOMER
254,12731,D3,3,DEPOT,1561,C11,11,CUSTOMER
255,4272,D4,4,DEPOT,580,C11,11,CUSTOMER
256,14188,D5,5,DEPOT,2225,C11,11,CUSTOMER
257,9159,C12,12,CUSTOMER,1458,C1,1,CUSTOMER
258,8441,C12,12,CUSTOMER,1128,C2,2,CUSTOMER
259,10500,C12,12,CUSTOMER,1473,C3,3,CUSTOMER
260,8410,C12,12,CUSTOMER,1387,C4,4,CUSTOMER
261,8440,C12,12,CUSTOMER,1276,C5,5,CUSTOMER
262,11200,C12,12,CUSTOMER,1803,C6,6,CUSTOMER
263,12924,C12,12,CUSTOMER,1628,C7,7,CUSTOMER
264,10779,C12,12,CUSTOMER,1548,C8,8,CUSTOMER
265,13898,C12,12,CUSTOMER,2154,C9,9,CUSTOMER
266,6407,C12,12,CUSTOMER,903,C10,10,CUSTOMER
267,19232,C12,12,CUSTOMER,2327,C11,11,CUSTOMER
268,0,C12,12,CUSTOMER,0,C12,12,CUSTOMER
269,4490,C12,12,CUSTOMER,669,D1,1,DEPOT
270,6192,C12,12,CUSTOMER,1087,D2,2,DEPOT
271,12298,C12,12,CUSTOMER,1321,D3,3,DEPOT
272,15627,C12,12,CUSTOMER,2002,D4,4,DEPOT
273,11333,C12,12,CUSTOMER,1410,D5,5,DEPOT
274,9662,C1,1,CUSTOMER,1430,C12,12,CUSTOMER
275,8924,C2,2,CUSTOMER,1268,C12,12,CUSTOMER
276,10528,C3,3,CUSTOMER,1557,C12,12,CUSTOMER
277,8642,C4,4,CUSTOMER,1274,C12,12,CUSTOMER
278,8370,C5,5,CUSTOMER,1240,C12,12,CUSTOMER
279,10585,C6,6,CUSTOMER,1569,C12,12,CUSTOMER
280,11992,C7,7,CUSTOMER,1593,C12,12,CUSTOMER
281,10414,C8,8,CUSTOMER,1522,C12,12,CUSTOMER
282,13896,C9,9,CUSTOMER,2122,C12,12,CUSTOMER
283,6263,C10,10,CUSTOMER,845,C12,12,CUSTOMER
284,16560,C11,11,CUSTOMER,2322,C12,12,CUSTOMER
285,4530,D1,1,DEPOT,671,C12,12,CUSTOMER
286,5895,D2,2,DEPOT,1012,C12,12,CUSTOMER
287,12193,D3,3,DEPOT,1271,C12,12,CUSTOMER
288,15539,D4,4,DEPOT,2052,C12,12,CUSTOMER
289,10573,D5,5,DEPOT,1222,C12,12,CUSTOMER
290,5720,C13,13,CUSTOMER,1019,C1,1,CUSTOMER
291,3870,C13,13,CUSTOMER,620,C2,2,CUSTOMER
292,4775,C13,13,CUSTOMER,804,C3,3,CUSTOMER
293,5582,C13,13,CUSTOMER,1057,C4,4,CUSTOMER
294,3247,C13,13,CUSTOMER,520,C5,5,CUSTOMER
295,6074,C13,13,CUSTOMER,1032,C6,6,CUSTOMER
296,8829,C13,13,CUSTOMER,1540,C7,7,CUSTOMER
297,1783,C13,13,CUSTOMER,359,C8,8,CUSTOMER
298,7631,C13,13,CUSTOMER,1341,C9,9,CUSTOMER
299,4006,C13,13,CUSTOMER,690,C10,10,CUSTOMER
300,7646,C13,13,CUSTOMER,1083,C11,11,CUSTOMER
301,10042,C13,13,CUSTOMER,1434,C12,12,CUSTOMER
302,0,C13,13,CUSTOMER,0,C13,13,CUSTOMER
303,13648,C13,13,CUSTOMER,1922,D1,1,DEPOT
304,7837,C13,13,CUSTOMER,1373,D2,2,DEPOT
305,5746,C13,13,CUSTOMER,1003,D3,3,DEPOT
306,7289,C13,13,CUSTOMER,958,D4,4,DEPOT
307,14249,C13,13,CUSTOMER,1753,D5,5,DEPOT
308,5724,C1,1,CUSTOMER,1042,C13,13,CUSTOMER
309,3664,C2,2,CUSTOMER,662,C13,13,CUSTOMER
310,5270,C3,3,CUSTOMER,872,C13,13,CUSTOMER
311,6989,C4,4,CUSTOMER,1287,C13,13,CUSTOMER
312,4150,C5,5,CUSTOMER,780,C13,13,CUSTOMER
313,6341,C6,6,CUSTOMER,1174,C13,13,CUSTOMER
314,8617,C7,7,CUSTOMER,1502,C13,13,CUSTOMER
315,1974,C8,8,CUSTOMER,398,C13,13,CUSTOMER
316,6974,C9,9,CUSTOMER,1331,C13,13,CUSTOMER
317,4504,C10,10,CUSTOMER,819,C13,13,CUSTOMER
318,5656,C11,11,CUSTOMER,984,C13,13,CUSTOMER
319,10369,C12,12,CUSTOMER,1586,C13,13,CUSTOMER
320,14063,D1,1,DEPOT,2091,C13,13,CUSTOMER
321,8714,D2,2,DEPOT,1631,C13,13,CUSTOMER
322,6814,D3,3,DEPOT,1204,C13,13,CUSTOMER
323,7165,D4,4,DEPOT,988,C13,13,CUSTOMER
324,14060,D5,5,DEPOT,1839,C13,13,CUSTOMER
325,27409,C14,14,CUSTOMER,2477,C1,1,CUSTOMER
326,17972,C14,14,CUSTOMER,2097,C2,2,CUSTOMER
327,18426,C14,14,CUSTOMER,1952,C3,3,CUSTOMER
328,26661,C14,14,CUSTOMER,2406,C4,4,CUSTOMER
329,18215,C14,14,CUSTOMER,2166,C5,5,CUSTOMER
330,19343,C14,14,CUSTOMER,2484,C6,6,CUSTOMER
331,31166,C14,14,CUSTOMER,2663,C7,7,CUSTOMER
332,14901,C14,14,CUSTOMER,1688,C8,8,CUSTOMER
333,18107,C14,14,CUSTOMER,2074,C9,9,CUSTOMER
334,24628,C14,14,CUSTOMER,2103,C10,10,CUSTOMER
335,12681,C14,14,CUSTOMER,1362,C11,11,CUSTOMER
336,25347,C14,14,CUSTOMER,2280,C12,12,CUSTOMER
337,15573,C14,14,CUSTOMER,1809,C13,13,CUSTOMER
338,0,C14,14,CUSTOMER,0,C14,14,CUSTOMER
339,28952,C14,14,CUSTOMER,2769,D1,1,DEPOT
340,24442,C14,14,CUSTOMER,2106,D2,2,DEPOT
341,14546,C14,14,CUSTOMER,1405,D3,3,DEPOT
342,8574,C14,14,CUSTOMER,983,D4,4,DEPOT
343,29574,C14,14,CUSTOMER,2445,D5,5,DEPOT
344,19780,C1,1,CUSTOMER,2378,C14,14,CUSTOMER
345,16098,C2,2,CUSTOMER,1674,C14,14,CUSTOMER
346,16112,C3,3,CUSTOMER,1950,C14,14,CUSTOMER
347,26517,C4,4,CUSTOMER,2369,C14,14,CUSTOMER
348,19267,C5,5,CUSTOMER,2188,C14,14,CUSTOMER
349,19577,C6,6,CUSTOMER,2318,C14,14,CUSTOMER
350,31640,C7,7,CUSTOMER,2701,C14,14,CUSTOMER
351,15393,C8,8,CUSTOMER,1631,C14,14,CUSTOMER
352,18465,C9,9,CUSTOMER,2066,C14,14,CUSTOMER
353,24526,C10,10,CUSTOMER,2131,C14,14,CUSTOMER
354,13511,C11,11,CUSTOMER,1371,C14,14,CUSTOMER
355,25130,C12,12,CUSTOMER,2243,C14,14,CUSTOMER
356,16098,C13,13,CUSTOMER,1710,C14,14,CUSTOMER
357,29068,D1,1,DEPOT,2615,C14,14,CUSTOMER
358,24184,D2,2,DEPOT,2089,C14,14,CUSTOMER
359,14404,D3,3,DEPOT,1342,C14,14,CUSTOMER
360,10100,D4,4,DEPOT,1147,C14,14,CUSTOMER
361,28857,D5,5,DEPOT,2336,C14,14,CUSTOMER
362,16886,C15,15,CUSTOMER,2273,C1,1,CUSTOMER
363,23304,C15,15,CUSTOMER,2667,C2,2,CUSTOMER
364,28234,C15,15,CUSTOMER,3002,C3,3,CUSTOMER
365,25147,C15,15,CUSTOMER,2303,C4,4,CUSTOMER
366,27014,C15,15,CUSTOMER,2607,C5,5,CUSTOMER
367,19736,C15,15,CUSTOMER,2765,C6,6,CUSTOMER
368,16112,C15,15,CUSTOMER,2116,C7,7,CUSTOMER
369,25642,C15,15,CUSTOMER,3087,C8,8,CUSTOMER
370,20080,C15,15,CUSTOMER,2180,C9,9,CUSTOMER
371,21270,C15,15,CUSTOMER,2442,C10,10,CUSTOMER
372,27028,C15,15,CUSTOMER,3093,C11,11,CUSTOMER
373,20508,C15,15,CUSTOMER,2379,C12,12,CUSTOMER
374,25232,C15,15,CUSTOMER,3125,C13,13,CUSTOMER
375,40029,C15,15,CUSTOMER,3622,C14,14,CUSTOMER
376,0,C15,15,CUSTOMER,0,C15,15,CUSTOMER
377,15333,C15,15,CUSTOMER,2079,D1,1,DEPOT
378,22929,C15,15,CUSTOMER,2004,D2,2,DEPOT
379,27197,C15,15,CUSTOMER,2700,D3,3,DEPOT
380,37164,C15,15,CUSTOMER,3357,D4,4,DEPOT
381,12911,C15,15,CUSTOMER,1685,D5,5,DEPOT
382,17068,C1,1,CUSTOMER,2302,C15,15,CUSTOMER
383,23831,C2,2,CUSTOMER,2804,C15,15,CUSTOMER
384,25435,C3,3,CUSTOMER,3093,C15,15,CUSTOMER
385,20098,C4,4,CUSTOMER,2201,C15,15,CUSTOMER
386,17908,C5,5,CUSTOMER,2532,C15,15,CUSTOMER
387,17350,C6,6,CUSTOMER,2338,C15,15,CUSTOMER
388,16843,C7,7,CUSTOMER,2132,C15,15,CUSTOMER
389,25321,C8,8,CUSTOMER,3058,C15,15,CUSTOMER
390,20424,C9,9,CUSTOMER,2181,C15,15,CUSTOMER
391,21170,C10,10,CUSTOMER,2381,C15,15,CUSTOMER
392,26555,C11,11,CUSTOMER,2933,C15,15,CUSTOMER
393,20580,C12,12,CUSTOMER,2410,C15,15,CUSTOMER
394,21083,C13,13,CUSTOMER,3021,C15,15,CUSTOMER
395,40274,C14,14,CUSTOMER,3661,C15,15,CUSTOMER
396,16463,D1,1,DEPOT,2205,C15,15,CUSTOMER
397,17740,D2,2,DEPOT,2000,C15,15,CUSTOMER
398,27121,D3,3,DEPOT,2652,C15,15,CUSTOMER
399,30115,D4,4,DEPOT,3405,C15,15,CUSTOMER
400,12710,D5,5,DEPOT,1553,C15,15,CUSTOMER
401,13694,C16,16,CUSTOMER,1980,C1,1,CUSTOMER
402,20111,C16,16,CUSTOMER,2374,C2,2,CUSTOMER
403,25041,C16,16,CUSTOMER,2709,C3,3,CUSTOMER
404,13613,C16,16,CUSTOMER,2112,C4,4,CUSTOMER
405,19124,C16,16,CUSTOMER,2366,C5,5,CUSTOMER
406,16544,C16,16,CUSTOMER,2472,C6,6,CUSTOMER
407,12919,C16,16,CUSTOMER,1823,C7,7,CUSTOMER
408,22449,C16,16,CUSTOMER,2794,C8,8,CUSTOMER
409,17851,C16,16,CUSTOMER,2093,C9,9,CUSTOMER
410,18077,C16,16,CUSTOMER,2149,C10,10,CUSTOMER
411,24798,C16,16,CUSTOMER,3006,C11,11,CUSTOMER
412,17315,C16,16,CUSTOMER,2086,C12,12,CUSTOMER
413,22039,C16,16,CUSTOMER,2832,C13,13,CUSTOMER
414,36836,C16,16,CUSTOMER,3329,C14,14,CUSTOMER
415,3156,C16,16,CUSTOMER,325,C15,15,CUSTOMER
416,0,C16,16,CUSTOMER,0,C16,16,CUSTOMER
417,12140,C16,16,CUSTOMER,1787,D1,1,DEPOT
418,14024,C16,16,CUSTOMER,1750,D2,2,DEPOT
419,24004,C16,16,CUSTOMER,2407,D3,3,DEPOT
420,33914,C16,16,CUSTOMER,3223,D4,4,DEPOT
421,9719,C16,16,CUSTOMER,1392,D5,5,DEPOT
422,13955,C1,1,CUSTOMER,2019,C16,16,CUSTOMER
423,20718,C2,2,CUSTOMER,2522,C16,16,CUSTOMER
424,22322,C3,3,CUSTOMER,2810,C16,16,CUSTOMER
425,16985,C4,4,CUSTOMER,1919,C16,16,CUSTOMER
